Age,lx,mx
0,1,0
1,0.848,0
2,0.83104,0
3,0.80611,0
4,0.78515,0
5,0.7773,0
6,0.7672,0
7,0.75416,0
8,0.73983,0
9,0.71468,0
10,0.71468,0
11,0.71468,0
12,0.71468,0
13,0.71468,0
14,0.71468,0.00106383
15,0.71468,0.015957447
16,0.71468,0.031914894
17,0.71468,0.045744681
18,0.71468,0.05
19,0.71468,0.05
20,0.71468,0.05212766
21,0.71468,0.054255319
22,0.71468,0.05106383
23,0.71468,0.05
24,0.71468,0.04893617
25,0.71468,0.045744681
26,0.7123575,0.042553191
27,0.710035,0.040425532
28,0.710035,0.038297872
29,0.7077125,0.036170213
30,0.70539,0.034042553
31,0.70539,0.032978723
32,0.70539,0.030851064
33,0.70539,0.028723404
34,0.70539,0.027659574
35,0.69551,0.026595745
36,0.69551,0.025531915
37,0.68438,0.024468085
38,0.68438,0.022340426
39,0.68438,0.021276596
40,0.6748,0.018085106
41,0.6748,0.014893617
42,0.66468,0.012765957
43,0.66468,0.008510638
44,0.66468,0.008510638
45,0.64939,0.007446809
46,0.64939,0.00106383
47,0.64939,0
48,0.64939,0
49,0.64939,0
50,0.63575,0
51,0.60714,0
52,0.59135,0
53,0.59135,0
54,0.59135,0
55,0.57597,0
56,0.57597,0
57,0.57597,0
58,0.55754,0
59,0.55754,0
60,0.55754,0
61,0.55754,0
62,0.549735,0
63,0.54193,0
64,0.52567,0
65,0.50885,0
66,0.490025,0
67,0.4806125,0
68,0.4712,0
69,0.4335,0
70,0.4127,0
71,0.4127,0
72,0.4127,0
73,0.38835,0
74,0.32854,0
75,0.26875,0
76,0.24644,0
77,0.2218,0
78,0.19718,0
79,0.17529,0
80,0.15338,0
81,0.1023,0
82,0.1023,0
83,0.1023,0
84,0.1023,0
85,0.1023,0
86,0.085265,0
87,0.0767475,0
88,0.06823,0
